block,station,date_time,species
LGNPS,LGNP012,9/5/21 1:00,fox
LGNPS,LGNP012,9/5/21 1:00,fox
LGNPS,LGNP012,9/5/21 1:00,fox
LGNPS,LGNP012,9/5/21 1:00,fox
LGNPS,LGNP012,9/5/21 1:00,fox
LGNPS,LGNP016,10/5/21 0:45,fox
LGNPS,LGNP016,10/5/21 0:45,fox
LGNPS,LGNP016,10/5/21 0:45,fox
LGNPS,LGNP016,10/5/21 0:45,fox
LGNPS,LGNP016,10/5/21 0:45,fox
LGNPS,LGNP016,10/5/21 0:45,fox
LGNPS,LGNP016,10/5/21 0:45,fox
LGNPS,LGNP016,10/5/21 0:45,fox
LGNPS,LGNP016,10/5/21 0:45,fox
LGNPS,LGNP016,10/5/21 0:45,fox
LGNPS,LGNP018,30/3/21 7:20,fox
LGNPS,LGNP018,30/3/21 7:20,fox
LGNPS,LGNP018,30/3/21 7:20,fox
LGNPS,LGNP018,30/3/21 7:20,fox
LGNPS,LGNP018,30/3/21 7:20,fox
LGNPS,LGNP023,31/3/21 22:04,fox
LGNPS,LGNP023,31/3/21 22:04,fox
LGNPS,LGNP023,31/3/21 22:04,fox
LGNPS,LGNP023,31/3/21 22:04,fox
LGNPS,LGNP023,31/3/21 22:04,fox
LGNPS,LGNP031,8/5/21 22:27,fox
LGNPS,LGNP031,8/5/21 22:27,fox
LGNPS,LGNP031,8/5/21 22:27,fox
LGNPS,LGNP031,8/5/21 22:27,fox
LGNPS,LGNP031,8/5/21 22:27,fox
LGNPS,LGNP035,1/4/21 9:58,fox
LGNPS,LGNP035,1/4/21 9:58,fox
LGNPS,LGNP035,1/4/21 9:58,fox
LGNPS,LGNP035,1/4/21 9:58,fox
LGNPS,LGNP035,1/4/21 9:58,fox
LGNPS,LGNP035,1/4/21 9:59,fox
LGNPS,LGNP035,1/4/21 9:59,fox
LGNPS,LGNP035,1/4/21 9:59,fox
LGNPS,LGNP035,1/4/21 9:59,fox
LGNPS,LGNP035,1/4/21 9:59,fox
LGNPS,LGNP035,1/4/21 9:59,fox
LGNPS,LGNP035,1/4/21 9:59,fox
LGNPS,LGNP035,1/4/21 9:59,fox
LGNPS,LGNP035,1/4/21 9:59,fox
LGNPS,LGNP035,1/4/21 9:59,fox
LGNPS,LGNP037,7/4/21 6:12,fox
LGNPS,LGNP037,7/4/21 6:12,fox
LGNPS,LGNP037,7/4/21 6:12,fox
LGNPS,LGNP037,7/4/21 6:12,fox
LGNPS,LGNP037,7/4/21 6:12,fox
LGNPS,LGNP039,8/5/21 9:21,fox
LGNPS,LGNP039,8/5/21 9:21,fox
LGNPS,LGNP039,8/5/21 9:21,fox
LGNPS,LGNP039,8/5/21 9:21,fox
LGNPS,LGNP039,8/5/21 9:21,fox
LGNPS,LGNP052,6/5/21 20:04,fox
LGNPS,LGNP052,6/5/21 20:04,fox
LGNPS,LGNP052,6/5/21 20:04,fox
LGNPS,LGNP052,6/5/21 20:04,fox
LGNPS,LGNP052,6/5/21 20:04,fox
LGNPS,LGNP059,31/3/21 19:26,fox
LGNPS,LGNP059,31/3/21 19:26,fox
LGNPS,LGNP059,31/3/21 19:26,fox
LGNPS,LGNP059,31/3/21 19:26,fox
LGNPS,LGNP059,31/3/21 19:26,fox
LGNPS,LGNP061,5/4/21 4:06,fox
LGNPS,LGNP061,5/4/21 4:06,fox
LGNPS,LGNP061,5/4/21 4:06,fox
LGNPS,LGNP061,5/4/21 4:06,fox
LGNPS,LGNP061,5/4/21 4:06,fox
LGNPN,LGNP065,14/4/21 20:31,fox
LGNPN,LGNP065,14/4/21 20:32,fox
LGNPN,LGNP065,14/4/21 20:32,fox
LGNPN,LGNP065,14/4/21 20:32,fox
LGNPN,LGNP065,14/4/21 20:32,fox
LGNPN,LGNP065,10/5/21 5:59,fox
LGNPN,LGNP065,10/5/21 5:59,fox
LGNPN,LGNP065,10/5/21 5:59,fox
LGNPN,LGNP065,10/5/21 5:59,fox
LGNPN,LGNP065,10/5/21 5:59,fox
LGNPN,LGNP066,12/4/21 18:45,fox
LGNPN,LGNP066,12/4/21 18:45,fox
LGNPN,LGNP066,12/4/21 18:45,fox
LGNPN,LGNP066,12/4/21 18:45,fox
LGNPN,LGNP066,12/4/21 18:45,fox
LGNPN,LGNP066,18/4/21 6:45,fox
LGNPN,LGNP066,18/4/21 6:45,fox
LGNPN,LGNP066,18/4/21 6:45,fox
LGNPN,LGNP066,18/4/21 6:45,fox
LGNPN,LGNP066,18/4/21 6:45,fox
LGNPN,LGNP067,2/4/21 9:46,fox
LGNPN,LGNP067,2/4/21 9:46,fox
LGNPN,LGNP067,2/4/21 9:46,fox
LGNPN,LGNP067,2/4/21 9:46,fox
LGNPN,LGNP067,2/4/21 9:46,fox
LGNPN,LGNP067,2/4/21 9:47,fox
LGNPN,LGNP067,2/4/21 9:47,fox
LGNPN,LGNP067,2/4/21 9:48,fox
LGNPN,LGNP067,2/4/21 9:48,fox
LGNPN,LGNP067,2/4/21 9:48,fox
LGNPN,LGNP067,4/4/21 3:04,fox
LGNPN,LGNP067,4/4/21 3:04,fox
LGNPN,LGNP067,4/4/21 3:04,fox
LGNPN,LGNP067,4/4/21 3:04,fox
LGNPN,LGNP067,4/4/21 3:04,fox
LGNPN,LGNP067,4/4/21 3:04,fox
LGNPN,LGNP067,4/4/21 3:04,fox
LGNPN,LGNP067,4/4/21 3:04,fox
LGNPN,LGNP067,4/4/21 3:04,fox
LGNPN,LGNP067,4/4/21 3:04,fox
LGNPN,LGNP067,4/4/21 3:04,fox
LGNPN,LGNP067,4/4/21 3:04,fox
LGNPN,LGNP067,4/4/21 3:04,fox
LGNPN,LGNP067,4/4/21 3:04,fox
LGNPN,LGNP067,4/4/21 3:04,fox
LGNPN,LGNP067,4/4/21 3:04,fox
LGNPN,LGNP067,4/4/21 3:04,fox
LGNPN,LGNP067,4/4/21 3:04,fox
LGNPN,LGNP067,4/4/21 3:05,fox
LGNPN,LGNP067,4/4/21 3:05,fox
LGNPN,LGNP067,4/4/21 3:05,fox
LGNPN,LGNP067,4/4/21 3:05,fox
LGNPN,LGNP067,4/4/21 3:05,fox
LGNPN,LGNP067,4/4/21 3:05,fox
LGNPN,LGNP067,4/4/21 3:05,fox
LGNPN,LGNP067,10/4/21 20:08,fox
LGNPN,LGNP067,10/4/21 20:09,fox
LGNPN,LGNP067,10/4/21 20:09,fox
LGNPN,LGNP067,10/4/21 20:09,fox
LGNPN,LGNP067,10/4/21 20:09,fox
LGNPN,LGNP067,10/4/21 20:53,fox
